"","coords.x1","coords.x2",""
"141",389815.5,288619.5,106.099998474121
"142",389761.5,288609.5,107.48999786377
"143",389768.5,288574.5,108.449996948242
"144",389785.5,288519.5,108.930000305176
"145",389800.5,288626.5,107.120002746582
"146",389771.5,288595.5,108.970001220703
"147",389760.5,288571.5,108.309997558594
"148",389775.5,288537.5,107.050003051758
"149",389790.5,288626.5,106.690002441406
"150",389767.5,288556.5,108.779998779297
"151",389773.5,288569.5,108.349998474121
"152",389761.5,288567.5,108.339996337891
"153",389782.5,288516.5,108.459999084473
"154",389770.5,288553.5,108.860000610352
"155",389813.5,288610.5,105.050003051758
"156",389807.5,288627.5,108.25
"157",389788.5,288533.5,107.830001831055
"158",389795.5,288630.5,106.730003356934
"159",389775.5,288592.5,108.51000213623
"160",389761.5,288619.5,107.529998779297
"161",389798.5,288528.5,106.769996643066
"162",389817.5,288612.5,104.889999389648
"163",389766.5,288545.5,108.980003356934
"164",389782.5,288521.5,108.419998168945
"165",389758.5,288539.5,109.120002746582
"166",389770.5,288571.5,109.040000915527
"167",389765.5,288571.5,108.480003356934
"168",389789.5,288627.5,106.900001525879
"169",389760.5,288546.5,108.970001220703
"170",389789.5,288514.5,107.650001525879
"171",389767.5,288630.5,108.309997558594
"172",389804.5,288546.5,106.190002441406
"173",389790.5,288638.5,106.690002441406
"174",389802.5,288549.5,106.230003356934
"175",389800.5,288551.5,106.339996337891
"176",389817.5,288615.5,105.779998779297
"177",389780.5,288623.5,108.559997558594
"178",389765.5,288631.5,108.73999786377
"179",389764.5,288524.5,109.269996643066
"180",389780.5,288528.5,109.040000915527
"181",389771.5,288545.5,107.900001525879
"182",389809.5,288627.5,107.300003051758
"183",389798.5,288553.5,106.529998779297
"184",389767.5,288592.5,108.290000915527
"185",389761.5,288556.5,108.650001525879
"186",389765.5,288580.5,108.129997253418
"187",389762.5,288564.5,108.430000305176
"188",389769.5,288550.5,108.959999084473
"189",389776.5,288613.5,107.360000610352
"190",389765.5,288521.5,108.910003662109
"191",389785.5,288523.5,108.080001831055
"192",389771.5,288620.5,108.470001220703
"193",389774.5,288614.5,107.949996948242
"194",389775.5,288632.5,108.150001525879
"195",389807.5,288631.5,106.900001525879
"196",389770.5,288572.5,109.040000915527
"197",389807.5,288601.5,105.059997558594
"198",389809.5,288620.5,107.540000915527
"199",389775.5,288548.5,107.139999389648
"200",389812.5,288607.5,104.790000915527
"201",389806.5,288614.5,105.930000305176
"202",389780.5,288584.5,107.180000305176
"203",389773.5,288619.5,107.819999694824
"204",389802.5,288608.5,105.709999084473
"205",389803.5,288556.5,106
"206",389764.5,288572.5,108.349998474121
"207",389808.5,288560.5,105.699996948242
"208",389815.5,288592.5,104.660003662109
"209",389798.5,288589.5,105.98999786377
"210",389811.5,288577.5,105.25
"211",389773.5,288583.5,109
"212",389795.5,288573.5,106.680000305176
"213",389781.5,288515.5,108.690002441406
"214",389766.5,288530.5,109.099998474121
"215",389803.5,288622.5,106.860000610352
"216",389763.5,288559.5,108.529998779297
"217",389803.5,288573.5,105.76000213623
"218",389771.5,288555.5,108.48999786377
"219",389806.5,288549.5,106.029998779297
"220",389805.5,288537.5,106.180000305176
"221",389796.5,288543.5,106.75
"222",389797.5,288555.5,106.550003051758
"223",389765.5,288618.5,108.559997558594
"224",389792.5,288554.5,107.040000915527
"225",389815.5,288601.5,104.410003662109
"226",389810.5,288586.5,105.089996337891
"227",389774.5,288555.5,107.230003356934
"228",389772.5,288561.5,108.26000213623
"229",389777.5,288593.5,107.769996643066
"230",389790.5,288520.5,107.48999786377
"231",389766.5,288611.5,108.480003356934
"232",389767.5,288629.5,108.639999389648
"233",389763.5,288554.5,108.730003356934
"234",389770.5,288581.5,109.019996643066
"235",389779.5,288581.5,107.150001525879
"236",389779.5,288527.5,109.050003051758
"237",389793.5,288629.5,106.660003662109
"238",389771.5,288629.5,107.470001220703
"239",389801.5,288614.5,107.23999786377
"240",389808.5,288584.5,105.290000915527
"241",389789.5,288542.5,107.430000305176
"242",389800.5,288617.5,108.309997558594
"243",389769.5,288532.5,107.940002441406
"244",389803.5,288615.5,107.120002746582
"245",389774.5,288547.5,107.330001831055
"246",389797.5,288589.5,106.110000610352
"247",389770.5,288616.5,109.080001831055
"248",389810.5,288610.5,104.949996948242
"249",389812.5,288596.5,104.769996643066
"250",389798.5,288564.5,106.199996948242
"251",389764.5,288544.5,109.190002441406
"252",389802.5,288580.5,106.220001220703
"253",389785.5,288521.5,108.040000915527
"254",389768.5,288606.5,108.5
"255",389798.5,288608.5,105.730003356934
"256",389782.5,288642.5,108.069999694824
"257",389808.5,288615.5,105.650001525879
"258",389795.5,288520.5,107.099998474121
"259",389800.5,288562.5,106.080001831055
"260",389762.5,288582.5,107.910003662109
"261",389801.5,288627.5,106.860000610352
"262",389812.5,288614.5,105.940002441406
"263",389761.5,288528.5,109.330001831055
"264",389802.5,288611.5,106.180000305176
"265",389782.5,288514.5,108.699996948242
"266",389810.5,288629.5,107.589996337891
"267",389803.5,288590.5,105.930000305176
"268",389789.5,288521.5,107.540000915527
"269",389770.5,288575.5,108.919998168945
"270",389807.5,288570.5,105.550003051758
"271",389765.5,288583.5,108.129997253418
"272",389776.5,288550.5,106.949996948242
"273",389768.5,288517.5,107.309997558594
"274",389813.5,288606.5,104.870002746582
"275",389761.5,288551.5,108.730003356934
"276",389806.5,288565.5,105.730003356934
"277",389771.5,288551.5,108.040000915527
"278",389801.5,288625.5,107.449996948242
"279",389782.5,288630.5,109.470001220703
"280",389783.5,288524.5,108.269996643066
"281",389759.5,288546.5,108.949996948242
"282",389803.5,288533.5,106.290000915527
"283",389767.5,288565.5,108.73999786377
"284",389802.5,288558.5,106.050003051758
"285",389777.5,288530.5,108.279998779297
"286",389771.5,288633.5,107.519996643066
"287",389799.5,288613.5,107.220001220703
"288",389801.5,288537.5,106.51000213623
"289",389792.5,288628.5,106.410003662109
"290",389762.5,288576.5,108.050003051758
"291",389804.5,288541.5,106.230003356934
"292",389784.5,288530.5,108.110000610352
"293",389801.5,288558.5,106.150001525879
"294",389774.5,288634.5,107.940002441406
"295",389770.5,288577.5,108.970001220703
"296",389773.5,288589.5,109.069999694824
"297",389801.5,288578.5,106.5
"298",389792.5,288556.5,107
"299",389797.5,288637.5,106.779998779297
"300",389795.5,288580.5,106.970001220703
"301",389769.5,288581.5,108.870002746582
"302",389794.5,288531.5,106.980003356934
"303",389795.5,288549.5,107.199996948242
"304",389762.5,288528.5,109.379997253418
"305",389761.5,288557.5,108.610000610352
"306",389771.5,288584.5,108.98999786377
"307",389766.5,288558.5,108.629997253418
"308",389792.5,288517.5,107.370002746582
"309",389780.5,288586.5,107.089996337891
"310",389791.5,288551.5,107.230003356934
"311",389789.5,288537.5,107.699996948242
"312",389805.5,288551.5,106.019996643066
"313",389816.5,288603.5,104.650001525879
"314",389810.5,288595.5,104.970001220703
"315",389771.5,288596.5,108.940002441406
"316",389803.5,288594.5,105.660003662109
"317",389802.5,288553.5,106.139999389648
"318",389779.5,288582.5,107.339996337891
"319",389806.5,288543.5,106.019996643066
"320",389814.5,288589.5,104.809997558594
"321",389779.5,288599.5,107.209999084473
"322",389808.5,288621.5,107.480003356934
"323",389763.5,288608.5,107.569999694824
"324",389758.5,288554.5,108.819999694824
"325",389776.5,288602.5,107.980003356934
"326",389770.5,288525.5,107.360000610352
"327",389800.5,288553.5,106.269996643066
"328",389763.5,288566.5,108.550003051758
